Name                                                                                                  Stmts   Miss  Cover
myvenv\Lib\site-packages\django\contrib\contenttypes\management.py                                       92     45    51%
myvenv\Lib\site-packages\django\contrib\contenttypes\migrations\0001_initial.py                           6      0   100%
myvenv\Lib\site-packages\django\contrib\contenttypes\migrations\0002_remove_content_type_name.py         13      7    46%
myvenv\Lib\site-packages\django\contrib\contenttypes\migrations\__init__.py                               0      0   100%
myvenv\Lib\site-packages\django\contrib\contenttypes\models.py                                          105     51    51%
myvenv\Lib\site-packages\django\contrib\messages\__init__.py                                              3      0   100%
myvenv\Lib\site-packages\django\contrib\messages\api.py                                                  33     18    45%
myvenv\Lib\site-packages\django\contrib\messages\apps.py                                                  5      0   100%
myvenv\Lib\site-packages\django\contrib\messages\constants.py                                             7      0   100%
myvenv\Lib\site-packages\django\contrib\messages\storage\__init__.py                                      4      1    75%
myvenv\Lib\site-packages\django\contrib\sessions\__init__.py                                              1      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\apps.py                                                  5      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\base_session.py                                         31     11    65%
myvenv\Lib\site-packages\django\contrib\sessions\management\__init__.py                                   0      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\migrations\0001_initial.py                               6      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\migrations\__init__.py                                   0      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\models.py                                               11      2    82%
myvenv\Lib\site-packages\django\contrib\sites\__init__.py                                                 1      0   100%
myvenv\Lib\site-packages\django\contrib\sites\shortcuts.py                                                8      5    38%
myvenv\Lib\site-packages\django\contrib\staticfiles\__init__.py                                           1      0   100%
myvenv\Lib\site-packages\django\contrib\staticfiles\apps.py                                               6      0   100%
myvenv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py                                0      0   100%
myvenv\Lib\site-packages\django\core\__init__.py                                                          0      0   100%
myvenv\Lib\site-packages\django\core\cache\__init__.py                                                   62     21    66%
myvenv\Lib\site-packages\django\core\cache\backends\__init__.py                                           0      0   100%
myvenv\Lib\site-packages\django\core\cache\backends\base.py                                             119     68    43%
myvenv\Lib\site-packages\django\core\cache\backends\db.py                                               139    117    16%
myvenv\Lib\site-packages\django\core\cache\backends\locmem.py                                           109     82    25%
myvenv\Lib\site-packages\django\core\checks\__init__.py                                                  14      0   100%
myvenv\Lib\site-packages\django\core\checks\caches.py                                                     9      3    67%
myvenv\Lib\site-packages\django\core\checks\compatibility\__init__.py                                     0      0   100%
myvenv\Lib\site-packages\django\core\checks\compatibility\django_1_10.py                                  7      3    57%
myvenv\Lib\site-packages\django\core\checks\compatibility\django_1_8_0.py                                10      6    40%
myvenv\Lib\site-packages\django\core\checks\database.py                                                   7      4    43%
myvenv\Lib\site-packages\django\core\checks\messages.py                                                  52     18    65%
myvenv\Lib\site-packages\django\core\checks\model_checks.py                                              65     51    22%
myvenv\Lib\site-packages\django\core\checks\registry.py                                                  56     16    71%
myvenv\Lib\site-packages\django\core\checks\security\__init__.py                                          0      0   100%
myvenv\Lib\site-packages\django\core\checks\security\base.py                                             52     23    56%
myvenv\Lib\site-packages\django\core\checks\security\csrf.py                                             17      7    59%
myvenv\Lib\site-packages\django\core\checks\security\sessions.py                                         37     20    46%
myvenv\Lib\site-packages\django\core\checks\templates.py                                                 24     15    38%
myvenv\Lib\site-packages\django\core\checks\urls.py                                                      54     43    20%
myvenv\Lib\site-packages\django\core\checks\utils.py                                                      7      4    43%
myvenv\Lib\site-packages\django\core\exceptions.py                                                       91     47    48%
myvenv\Lib\site-packages\django\core\files\__init__.py                                                    2      0   100%
myvenv\Lib\site-packages\django\core\files\base.py                                                      119     64    46%
myvenv\Lib\site-packages\django\core\files\images.py                                                     46     36    22%
myvenv\Lib\site-packages\django\core\files\locks.py                                                      57     18    68%
myvenv\Lib\site-packages\django\core\files\move.py                                                       37     31    16%
myvenv\Lib\site-packages\django\core\files\storage.py                                                   219    100    54%
myvenv\Lib\site-packages\django\core\files\temp.py                                                       35     20    43%
myvenv\Lib\site-packages\django\core\files\uploadedfile.py                                               60     19    68%
myvenv\Lib\site-packages\django\core\files\uploadhandler.py                                              78     42    46%
myvenv\Lib\site-packages\django\core\files\utils.py                                                      22      1    95%
myvenv\Lib\site-packages\django\core\handlers\__init__.py                                                 0      0   100%
myvenv\Lib\site-packages\django\core\handlers\base.py                                                   150    119    21%
myvenv\Lib\site-packages\django\core\handlers\exception.py                                               71     50    30%
myvenv\Lib\site-packages\django\core\handlers\wsgi.py                                                   149    108    28%
myvenv\Lib\site-packages\django\core\mail\__init__.py                                                    33     22    33%
myvenv\Lib\site-packages\django\core\mail\message.py                                                    285    221    22%
myvenv\Lib\site-packages\django\core\mail\utils.py                                                        9      4    56%
myvenv\Lib\site-packages\django\core\management\__init__.py                                             164     81    51%
myvenv\Lib\site-packages\django\core\management\base.py                                                 213    101    53%
myvenv\Lib\site-packages\django\core\management\color.py                                                 30      5    83%
myvenv\Lib\site-packages\django\core\management\commands\__init__.py                                      0      0   100%
myvenv\Lib\site-packages\django\core\management\commands\createcachetable.py                             68     45    34%
myvenv\Lib\site-packages\django\core\management\commands\migrate.py                                     171     90    47%
myvenv\Lib\site-packages\django\core\management\commands\test.py                                         38      4    89%
myvenv\Lib\site-packages\django\core\management\sql.py                                                   24      8    67%
myvenv\Lib\site-packages\django\core\paginator.py                                                        83     52    37%
myvenv\Lib\site-packages\django\core\serializers\__init__.py                                            108     29    73%
myvenv\Lib\site-packages\django\core\serializers\base.py                                                108     43    60%
myvenv\Lib\site-packages\django\core\serializers\json.py                                                 82     40    51%
myvenv\Lib\site-packages\django\core\serializers\python.py                                              122     88    28%
myvenv\Lib\site-packages\django\core\serializers\pyyaml.py                                               44     21    52%
myvenv\Lib\site-packages\django\core\serializers\xml_serializer.py                                      220    172    22%
myvenv\Lib\site-packages\django\core\servers\__init__.py                                                  0      0   100%
myvenv\Lib\site-packages\django\core\servers\basehttp.py                                                 99     70    29%
myvenv\Lib\site-packages\django\core\signals.py                                                           5      0   100%
myvenv\Lib\site-packages\django\core\signing.py                                                          94     59    37%
myvenv\Lib\site-packages\django\core\validators.py                                                      237    115    51%
myvenv\Lib\site-packages\django\core\wsgi.py                                                              5      2    60%
myvenv\Lib\site-packages\django\db\__init__.py                                                           26      8    69%
myvenv\Lib\site-packages\django\db\backends\__init__.py                                                   0      0   100%
myvenv\Lib\site-packages\django\db\backends\base\__init__.py                                              0      0   100%
myvenv\Lib\site-packages\django\db\backends\base\base.py                                                288     82    72%
myvenv\Lib\site-packages\django\db\backends\base\client.py                                                6      1    83%
myvenv\Lib\site-packages\django\db\backends\base\creation.py                                            124     38    69%
myvenv\Lib\site-packages\django\db\backends\base\features.py                                            103     18    83%
myvenv\Lib\site-packages\django\db\backends\base\introspection.py                                        75     51    32%
myvenv\Lib\site-packages\django\db\backends\base\operations.py                                          202    105    48%
myvenv\Lib\site-packages\django\db\backends\base\schema.py                                              428    154    64%
myvenv\Lib\site-packages\django\db\backends\base\validation.py                                            7      2    71%
myvenv\Lib\site-packages\django\db\backends\postgresql\__init__.py                                        0      0   100%
myvenv\Lib\site-packages\django\db\backends\postgresql\base.py                                          124     19    85%
myvenv\Lib\site-packages\django\db\backends\postgresql\client.py                                         39     29    26%
myvenv\Lib\site-packages\django\db\backends\postgresql\creation.py                                       28     19    32%
myvenv\Lib\site-packages\django\db\backends\postgresql\features.py                                       31      0   100%
myvenv\Lib\site-packages\django\db\backends\postgresql\introspection.py                                  66     48    27%
myvenv\Lib\site-packages\django\db\backends\postgresql\operations.py                                    131     80    39%
myvenv\Lib\site-packages\django\db\backends\postgresql\schema.py                                         54     17    69%
myvenv\Lib\site-packages\django\db\backends\postgresql\utils.py                                           5      1    80%
myvenv\Lib\site-packages\django\db\backends\postgresql\version.py                                        14     10    29%
myvenv\Lib\site-packages\django\db\backends\signals.py                                                    2      0   100%
myvenv\Lib\site-packages\django\db\backends\utils.py                                                    128     82    36%
myvenv\Lib\site-packages\django\db\migrations\__init__.py                                                 2      0   100%
myvenv\Lib\site-packages\django\db\migrations\autodetector.py                                           573    522     9%
myvenv\Lib\site-packages\django\db\migrations\exceptions.py                                              29      5    83%
myvenv\Lib\site-packages\django\db\migrations\executor.py                                               204    127    38%
myvenv\Lib\site-packages\django\db\migrations\graph.py                                                  241    116    52%
myvenv\Lib\site-packages\django\db\migrations\loader.py                                                 170     66    61%
myvenv\Lib\site-packages\django\db\migrations\migration.py                                               87     43    51%
myvenv\Lib\site-packages\django\db\migrations\operations\__init__.py                                      4      0   100%
myvenv\Lib\site-packages\django\db\migrations\operations\base.py                                         38     14    63%
myvenv\Lib\site-packages\django\db\migrations\operations\fields.py                                      161     74    54%
myvenv\Lib\site-packages\django\db\migrations\operations\models.py                                      353    219    38%
myvenv\Lib\site-packages\django\db\migrations\operations\special.py                                     121     78    36%
myvenv\Lib\site-packages\django\db\migrations\optimizer.py                                               26     22    15%
myvenv\Lib\site-packages\django\db\migrations\questioner.py                                             129     97    25%
myvenv\Lib\site-packages\django\db\migrations\recorder.py                                                42      6    86%
myvenv\Lib\site-packages\django\db\migrations\serializer.py                                             278    201    28%
myvenv\Lib\site-packages\django\db\migrations\state.py                                                  327    125    62%
myvenv\Lib\site-packages\django\db\migrations\topological_sort.py                                        15     13    13%
myvenv\Lib\site-packages\django\db\migrations\utils.py                                                   11      4    64%
myvenv\Lib\site-packages\django\db\migrations\writer.py                                                 183    147    20%
myvenv\Lib\site-packages\django\db\models\__init__.py                                                    20      5    75%
myvenv\Lib\site-packages\django\db\models\aggregates.py                                                  89     47    47%
myvenv\Lib\site-packages\django\db\models\base.py                                                       850    558    34%
myvenv\Lib\site-packages\django\db\models\constants.py                                                    1      0   100%
myvenv\Lib\site-packages\django\db\models\deletion.py                                                   171    146    15%
myvenv\Lib\site-packages\django\db\models\expressions.py                                                543    328    40%
myvenv\Lib\site-packages\django\db\models\fields\__init__.py                                           1298    696    46%
myvenv\Lib\site-packages\django\db\models\fields\files.py                                               251    103    59%
myvenv\Lib\site-packages\django\db\models\fields\proxy.py                                                10      6    40%
myvenv\Lib\site-packages\django\db\models\fields\related.py                                             702    356    49%
myvenv\Lib\site-packages\django\db\models\fields\related_descriptors.py                                 496    437    12%
myvenv\Lib\site-packages\django\db\models\fields\related_lookups.py                                      81     39    52%
myvenv\Lib\site-packages\django\db\models\fields\reverse_related.py                                     119     43    64%
myvenv\Lib\site-packages\django\db\models\functions\__init__.py                                           3      0   100%
myvenv\Lib\site-packages\django\db\models\functions\base.py                                             115     63    45%
myvenv\Lib\site-packages\django\db\models\functions\datetime.py                                         151     72    52%
myvenv\Lib\site-packages\django\db\models\lookups.py                                                    358    149    58%
myvenv\Lib\site-packages\django\db\models\manager.py                                                    106     12    89%
myvenv\Lib\site-packages\django\db\models\options.py                                                    405     85    79%
myvenv\Lib\site-packages\django\db\models\query.py                                                      926    606    35%
myvenv\Lib\site-packages\django\db\models\query_utils.py                                                138     80    42%
myvenv\Lib\site-packages\django\db\models\signals.py                                                     30      5    83%
myvenv\Lib\site-packages\django\db\models\sql\__init__.py                                                 5      0   100%
myvenv\Lib\site-packages\django\db\models\sql\compiler.py                                               675    358    47%
myvenv\Lib\site-packages\django\db\models\sql\constants.py                                               11      0   100%
myvenv\Lib\site-packages\django\db\models\sql\datastructures.py                                          65     17    74%
myvenv\Lib\site-packages\django\db\models\sql\query.py                                                 1037    592    43%
myvenv\Lib\site-packages\django\db\models\sql\subqueries.py                                             107     71    34%
myvenv\Lib\site-packages\django\db\models\sql\where.py                                                  124     62    50%
myvenv\Lib\site-packages\django\db\models\utils.py                                                       13      3    77%
myvenv\Lib\site-packages\django\db\transaction.py                                                       116     50    57%
myvenv\Lib\site-packages\django\db\utils.py                                                             189     61    68%
myvenv\Lib\site-packages\django\dispatch\__init__.py                                                      1      0   100%
myvenv\Lib\site-packages\django\dispatch\dispatcher.py                                                  138     45    67%
myvenv\Lib\site-packages\django\forms\__init__.py                                                         7      0   100%
myvenv\Lib\site-packages\django\forms\boundfield.py                                                     135    102    24%
myvenv\Lib\site-packages\django\forms\fields.py                                                         696    467    33%
myvenv\Lib\site-packages\django\forms\forms.py                                                          240    171    29%
myvenv\Lib\site-packages\django\forms\formsets.py                                                       226    162    28%
myvenv\Lib\site-packages\django\forms\models.py                                                         676    499    26%
myvenv\Lib\site-packages\django\forms\utils.py                                                          102     63    38%
myvenv\Lib\site-packages\django\forms\widgets.py                                                        639    401    37%
myvenv\Lib\site-packages\django\http\__init__.py                                                          4      0   100%
myvenv\Lib\site-packages\django\http\cookie.py                                                           47     37    21%
myvenv\Lib\site-packages\django\http\multipartparser.py                                                 381    324    15%
myvenv\Lib\site-packages\django\http\request.py                                                         307    231    25%
myvenv\Lib\site-packages\django\http\response.py                                                        277    167    40%
myvenv\Lib\site-packages\django\middleware\__init__.py                                                    0      0   100%
myvenv\Lib\site-packages\django\middleware\cache.py                                                      76     63    17%
myvenv\Lib\site-packages\django\middleware\csrf.py                                                      129     92    29%
myvenv\Lib\site-packages\django\template\__init__.py                                                     10      0   100%
myvenv\Lib\site-packages\django\template\base.py                                                        571    448    22%
myvenv\Lib\site-packages\django\template\context.py                                                     155    111    28%
myvenv\Lib\site-packages\django\template\defaultfilters.py                                              452    322    29%
myvenv\Lib\site-packages\django\template\defaulttags.py                                                 614    492    20%
myvenv\Lib\site-packages\django\template\engine.py                                                      116     65    44%
myvenv\Lib\site-packages\django\template\exceptions.py                                                   12      8    33%
myvenv\Lib\site-packages\django\template\library.py                                                     178     98    45%
myvenv\Lib\site-packages\django\template\loader.py                                                       38     26    32%
myvenv\Lib\site-packages\django\template\loader_tags.py                                                 192    153    20%
myvenv\Lib\site-packages\django\template\response.py                                                     67     46    31%
myvenv\Lib\site-packages\django\template\smartif.py                                                     107     64    40%
myvenv\Lib\site-packages\django\template\utils.py                                                        65     45    31%
myvenv\Lib\site-packages\django\templatetags\__init__.py                                                  0      0   100%
myvenv\Lib\site-packages\django\templatetags\static.py                                                   71     50    30%
myvenv\Lib\site-packages\django\test\__init__.py                                                         11      5    55%
myvenv\Lib\site-packages\django\test\client.py                                                          347    260    25%
myvenv\Lib\site-packages\django\test\html.py                                                            166    128    23%
myvenv\Lib\site-packages\django\test\runner.py                                                          399    173    57%
myvenv\Lib\site-packages\django\test\signals.py                                                         103     76    26%
myvenv\Lib\site-packages\django\test\testcases.py                                                       690    472    32%
myvenv\Lib\site-packages\django\test\utils.py                                                           392    265    32%
myvenv\Lib\site-packages\django\urls\__init__.py                                                          5      0   100%
myvenv\Lib\site-packages\django\urls\base.py                                                            102     77    25%
myvenv\Lib\site-packages\django\urls\exceptions.py                                                        6      0   100%
myvenv\Lib\site-packages\django\urls\resolvers.py                                                       253    205    19%
myvenv\Lib\site-packages\django\urls\utils.py                                                            33     26    21%
myvenv\Lib\site-packages\django\utils\__init__.py                                                         0      0   100%
myvenv\Lib\site-packages\django\utils\_os.py                                                             46     21    54%
myvenv\Lib\site-packages\django\utils\autoreload.py                                                     203    159    22%
myvenv\Lib\site-packages\django\utils\baseconv.py                                                        48     25    48%
myvenv\Lib\site-packages\django\utils\cache.py                                                          181    151    17%
myvenv\Lib\site-packages\django\utils\crypto.py                                                          87     57    34%
myvenv\Lib\site-packages\django\utils\datastructures.py                                                 171     94    45%
myvenv\Lib\site-packages\django\utils\dateformat.py                                                     198    138    30%
myvenv\Lib\site-packages\django\utils\dateparse.py                                                       50     37    26%
myvenv\Lib\site-packages\django\utils\dates.py                                                            9      0   100%
myvenv\Lib\site-packages\django\utils\datetime_safe.py                                                   58     42    28%
myvenv\Lib\site-packages\django\utils\deconstruct.py                                                     24      9    62%
myvenv\Lib\site-packages\django\utils\decorators.py                                                     102     57    44%
myvenv\Lib\site-packages\django\utils\deprecation.py                                                     78     24    69%
myvenv\Lib\site-packages\django\utils\duration.py                                                        14     13     7%
myvenv\Lib\site-packages\django\utils\encoding.py                                                       110     55    50%
myvenv\Lib\site-packages\django\utils\formats.py                                                        134    109    19%
myvenv\Lib\site-packages\django\utils\functional.py                                                     225     87    61%
myvenv\Lib\site-packages\django\utils\html.py                                                           187    135    28%
